,Date,Open,High,Low,Close,Adj Close,Volume,prev_close,diff_close,weeky_returns
0,2018-06-27,199.179993,200.75,195.800003,195.839996,195.839996,18734400,,,
1,2018-06-28,195.179993,197.339996,193.259995,196.229996,196.229996,18172400,195.839996,0.38999999999998636,
2,2018-06-29,197.320007,197.600006,193.960007,194.320007,194.320007,15811600,196.229996,-1.909988999999996,
3,2018-07-02,193.369995,197.449997,192.220001,197.360001,197.360001,13961600,194.320007,3.039994000000007,
4,2018-07-03,194.550003,195.399994,192.520004,192.729996,192.729996,13489500,197.360001,-4.630005000000011,
5,2018-07-05,194.740005,198.649994,194.029999,198.449997,198.449997,19684200,192.729996,5.720000999999996,
6,2018-07-06,198.449997,203.639999,197.699997,203.229996,203.229996,19740100,198.449997,4.779999000000004,
7,2018-07-09,204.929993,205.800003,202.119995,204.740005,204.740005,18149400,203.229996,1.5100089999999966,
8,2018-07-10,204.5,204.910004,202.259995,203.539993,203.539993,13190100,204.740005,-1.2000119999999868,3.7830388448524688
9,2018-07-11,202.220001,204.5,201.75,202.539993,202.539993,12927400,203.539993,-1.0,3.1154326148317826
10,2018-07-12,203.429993,207.080002,203.190002,206.919998,206.919998,15454700,202.539993,4.380004999999983,6.089305587563358
11,2018-07-13,207.809998,208.429993,206.449997,207.320007,207.320007,11486800,206.919998,0.4000090000000114,4.804170202444568
12,2018-07-16,207.5,208.720001,206.839996,207.229996,207.229996,11078200,207.320007,-0.09001100000000406,6.9970565458100955
13,2018-07-17,204.899994,210.460007,204.839996,209.990005,209.990005,15349900,207.229996,2.7600089999999966,5.495503464557753
14,2018-07-18,209.820007,210.990005,208.440002,209.360001,209.360001,15334900,209.990005,-0.6300039999999854,2.9279733333589406
15,2018-07-19,208.770004,209.990005,207.759995,208.089996,208.089996,11350400,209.360001,-1.2700049999999976,1.6098760461315098
16,2018-07-20,208.850006,211.5,208.5,209.940002,209.940002,16163900,208.089996,1.8500059999999792,3.048494302672238
17,2018-07-23,210.580002,211.619995,208.800003,210.910004,210.910004,16732000,209.940002,0.9700019999999938,3.968522517310263
18,2018-07-24,215.110001,216.199997,212.600006,214.669998,214.669998,28468700,210.910004,3.759994000000006,3.6101924219517625
19,2018-07-25,215.720001,218.619995,214.270004,217.5,217.5,58954200,214.669998,2.8300020000000075,4.680456551724136
20,2018-07-26,174.889999,180.130005,173.75,176.259995,176.259995,169387800,217.5,-41.240005,-17.57063535602619
21,2018-07-27,179.869995,179.929993,173.0,173.629303,173.629303,49892207,176.259995,-2.6306920000000105,-20.941569983725618
